Artikelnummer (AR+[ID])	Artikelnummer Systemfremd	Artikelgruppe	Artikelname Vermietung	Artikelkurzbeschreibung Vermietung	Vermietpreis Min	Vermietpreis Soll	Vermietpreis UVP	Artikelname Verkauf	Artikelkurzbeschreibung Verkauf	Herstellerfirma	Verkaufpreis Min	Verkaufpreis Soll	Verkaufpreis UVP	ArtikelSeriennummer	Equipments	Eigene Equipments	Anzahl fremde Equipments	In Werkstatt	Equipments verkauft	EK netto	Anmietpreis	H?he [mm]	Breite [mm]	L?nge [mm]	Gewicht [kg]	Anschlussleistung [W]	
AR170	 - 	BÃ¼hnenpodeste	 BÃ¼hnentreppenelement 2m Breit 20cm/40cm	 Bühnentreppenelement 2m Breit 20cm/40cm	 - 	20	 - 	 BÃ¼hnentreppenelement 2m Breit 20cm/40cm	 Bühnentreppenelement 2m Breit 20cm/40cm	NULL	 - 	 - 	 - 	 - 	4	4	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR237	 - 	BÃ¼hnenpodeste	Showgear Mammoth Stairs	Showgear Mammoth Stairs Deck 12 mm Plywood Rahmen Metal Material Aluminium, Steel, Wood	12.5	15	17	Deck750 Stage 4x4ft Wood	 - 	NULL	 - 	199	 - 	 - 	12	12	0	0	0	139	 - 	400	990	675	19.500	0
AR387	 - 	BÃ¼hnenpodeste	Showgear Mammoth BÃ¼hne 2 x 1 m, ohne FÃ¼ÃŸe	Showgear Mammoth Bühne 2 x 1 m, ohne Füße	10	12.00	20	Showgear Mammoth BÃ¼hne 2 x 1 m, ohne FÃ¼ÃŸe	Bühnenelement 1x2m	NULL	 - 	240	250	 - 	4	4	0	0	0	195	 - 	55	1000	2000	0.000	0
AR388	 - 	BÃ¼hnenpodeste	Podestfuss Flexy 60-100cm	Podestfuss Flexy 60-100cm	 - 	2.5	 - 	Podestfuss Flexy 60-100cm	Podestfuss Flexy 60-100cm	NULL	 - 	 - 	 - 	 - 	16	16	0	0	0	 - 	 - 	600	80	80	0.000	0
AR439	 - 	BÃ¼hnenpodeste	Podestfuss 40cm	Podestfuss 40cm	2.5	2.5	 - 	40 cm  FÃ¼sse	40 cm  Füsse	NULL	 - 	 - 	 - 	 - 	64	16	48	0	0	 - 	 - 	400	80	80	1.000	0
AR476	 - 	BÃ¼hnenpodeste	Showgear Mammoth BÃ¼hne 1 x 1 m, ohne FÃ¼ÃŸe	Showgear Mammoth Bühne 1 x 1 m, ohne Füße maximale Last /m² 500 kg/m² Farbe Black, Gray Deck 12 mm Plywood Rahmen Aluminium Material Aluminium, Plywood	10	12	15	Showgear Mammoth BÃ¼hne 1 x 1 m, ohne FÃ¼ÃŸe	Showgear Mammoth Bühne 1 x 1 m, ohne Füße maximale Last /m² 500 kg/m² Farbe Black, Gray Deck 12 mm Plywood Rahmen Aluminium Material Aluminium, Plywood	NULL	 - 	 - 	 - 	 - 	4	4	0	0	0	 - 	 - 	55	1000	1000	12.100	0
AR480	 - 	BÃ¼hnenpodeste	Showgear Mammoth Dex Ohne Beine	Showgear Mammoth Dex Ohne Beine, 750 kg/m²  Länge (mm) 2000 mm Höhe (mm) 90 mm Breite (mm) 1000 mm maximale Last /m²750 kg/m² Gewicht 32.5 kg Farbe Black, Gray Deck 12 mm Plywood  Rahmen Aluminium Material Aluminium, Plywood	 - 	 - 	 - 	Showgear Mammoth Dex Ohne Beine	Showgear Mammoth Dex Ohne Beine, 750 kg/m²  Länge (mm) 2000 mm Höhe (mm) 90 mm Breite (mm) 1000 mm maximale Last /m²750 kg/m² Gewicht 32.5 kg Farbe Black, Gray Deck 12 mm Plywood  Rahmen Aluminium Material Aluminium, Plywood	NULL	 - 	 - 	 - 	 - 	12	12	0	0	0	 - 	 - 	90	1000	2000	32.500	0
AR502	 - 	BÃ¼hnenpodeste	PodestfuÃŸ 40cm PodesthÃ¶he	Podestfuß 40cm Podesthöhe	0	0.5	100	PodestfuÃŸ rund fÃ¼r 40cm PodesthÃ¶he	Podestfuß rund für 40cm Podesthöhe	NULL	 - 	 - 	 - 	 - 	48	0	48	0	0	 - 	 - 	400	80	80	1.500	0
AR503	 - 	BÃ¼hnenpodeste	Podestklammer (MetallausfÃ¼hrung)	Podestklammer (Metallausführung)	 - 	 - 	 - 	Podestklammer (MetallausfÃ¼hrung)	Podestklammer (Metallausführung)	NULL	 - 	 - 	 - 	 - 	30	0	30	0	0	 - 	 - 	 - 	 - 	 - 	1.300	0
AR565	 - 	BÃ¼hnenpodeste	PodestfuÃŸ rund fÃ¼r 100cm PodesthÃ¶he	Podestfuß rund für 100cm Podesthöhe	 - 	2	 - 	PodestfuÃŸ rund fÃ¼r 100cm PodesthÃ¶he	Podestfuß rund für 100cm Podesthöhe	NULL	 - 	 - 	 - 	 - 	16	0	16	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR566	 - 	BÃ¼hnenpodeste	Podestklammer (MetallausfÃ¼hrung)	Podestklammer (Metallausführung)	 - 	1	 - 	Podestklammer (MetallausfÃ¼hrung)	Podestklammer (Metallausführung)	NULL	 - 	 - 	 - 	 - 	8	8	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR567	 - 	BÃ¼hnenpodeste	BÃ¼hnentreppenelement 20cm hoch, 1m breit	Bühnentreppenelement 20cm hoch, 1m breit	 - 	2.50	 - 	BÃ¼hnentreppenelement 20cm hoch, 1m breit	Bühnentreppenelement 20cm hoch, 1m breit	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR568	 - 	BÃ¼hnenpodeste	BÃ¼hnentreppenelement 40cm hoch, 1m breit	Bühnentreppenelement 40cm hoch, 1m breit	 - 	2.50	 - 	BÃ¼hnentreppenelement 40cm hoch, 1m breit	Bühnentreppenelement 40cm hoch, 1m breit	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR569	 - 	BÃ¼hnenpodeste	BÃ¼hnentreppenelement 60cm hoch, 1m breit	Bühnentreppenelement 60cm hoch, 1m breit	 - 	2.50	 - 	BÃ¼hnentreppenelement 60cm hoch, 1m breit	Bühnentreppenelement 60cm hoch, 1m breit	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR570	 - 	BÃ¼hnenpodeste	BÃ¼hnentreppenelement 80cm hoch, 1m breit	Bühnentreppenelement 80cm hoch, 1m breit	 - 	2.50	 - 	BÃ¼hnentreppenelement 80cm hoch, 1m breit	Bühnentreppenelement 80cm hoch, 1m breit	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR571	 - 	BÃ¼hnenpodeste	BÃ¼hnentreppenelement 100cm hoch, 1m breit	Bühnentreppenelement 100cm hoch, 1m breit	 - 	2,50	 - 	BÃ¼hnentreppenelement 100cm hoch, 1m breit	Bühnentreppenelement 100cm hoch, 1m breit	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR572	 - 	BÃ¼hnenpodeste	BÃ¼hnentreppen Handlauf passend fÃ¼r 5teilige Treppe	Bühnentreppen Handlauf passend für 5teilige Treppen mit 100cm Höhe	 - 	2.50	 - 	BÃ¼hnentreppen Handlauf passend fÃ¼r 5teilige Treppe	Bühnentreppen Handlauf passend für 5teilige Treppen mit 100cm Höhe	NULL	 - 	 - 	 - 	 - 	4	4	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR695	 - 	BÃ¼hnenpodeste	BÃ¼tec Podest 100cm x 200cm*	Bütec Podest 100cm x 200cm, Rundaufnahme, Platte für Ausseneinsatz, Kompakt 3000 System	15	20	25	BÃ¼tec Podest 100cm x 200cm*	Bütec Podest 100cm x 200cm, Rundaufnahme, Platte für Ausseneinsatz, Kompakt 3000 System	NULL	 - 	 - 	 - 	8	30	30	0	0	0	0.0	8	100	1000	2000	38.000	0
AR696	 - 	BÃ¼hnenpodeste	Podestklammer (MetallausfÃ¼hrung)	Podestklammer (Metallausführung)	 - 	0,5	 - 	Podestklammer (MetallausfÃ¼hrung)	Podestklammer (Metallausführung)	NULL	 - 	 - 	 - 	 - 	26	26	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR697	 - 	BÃ¼hnenpodeste	BÃ¼tec Sonderpodest fÃ¼r 6m RundbÃ¼hne *	Bütec Sonderpodest für 6m Rundbühne "flache Ecken" links2,0 Bütec Sonderpodest für 6m Rundbühne "flache Ecken" rechts2,0 Bütec Sonderpodest für 6m Rundbühne "spitze Ecken" links2,0 Bütec Sonderpodest für 6m Rundbühne "spitze Ecken" rechts2,0 Bütec Podest 100cm x 200cm, Rundaufnahme, Platte für Ausseneinsatz, Kompakt 3000 System	 - 	455	 - 	BÃ¼tec Sonderpodest fÃ¼r 6m RundbÃ¼hne *	POD KREIS 06 1/4	NULL	 - 	 - 	 - 	 - 	2	0	2	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR698	 - 	BÃ¼hnenpodeste	PodestfuÃŸ rund fÃ¼r 20cm PodesthÃ¶he*	Podestfuß rund für 20cm Podesthöhe	 - 	3	10	PodestfuÃŸ rund fÃ¼r 20cm PodesthÃ¶he	Podestfuß rund für 20cm Podesthöhe	NULL	 - 	 - 	 - 	 - 	60	60	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR699	 - 	BÃ¼hnenpodeste	PodestfuÃŸ 60-96cm rund	Podestfuß 60-96cm rund	 - 	5	 - 	PodestfuÃŸ 60-96cm rund	Podestfuß 60-96cm rund	NULL	 - 	5	 - 	 - 	8	8	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR717	 - 	BÃ¼hnenpodeste	Deck750 Stage 200x100cm Hexa	Bühnenelement Deck750 Stage 200x100cm Hexa	14	17	20	Deck750 Stage 200x100cm Hexa	Bühnenelement Deck750 Stage 200x100cm Hexa	NULL	 - 	340	 - 	 - 	12	12	0	0	0	277	 - 	90	1000	2000	32.000	0
AR718	 - 	BÃ¼hnenpodeste	750RL Stage Round leg 20cm (set 4) 	750RL Stage Round leg 20cm (set 4) 	2	2	2	750RL Stage Round leg 20cm (set 4) 	750RL Stage Round leg 20cm (set 4) 	NULL	 - 	55	 - 	 - 	90	90	0	0	0	33.43	 - 	 - 	 - 	200	0.850	0
AR719	 - 	BÃ¼hnenpodeste	750SDC Stage Deck to Deck Clamp (set of 3)	750SDC Stage Deck to Deck Clamp (set of 3)	0.5	1	2	750SDC Stage Deck to Deck Clamp (set of 3)	750SDC Stage Deck to Deck Clamp (set of 3)	NULL	40	45	49	 - 	8	8	0	0	0	27.31	 - 	 - 	 - 	 - 	0.700	0
AR720	 - 	BÃ¼hnenpodeste	  750SDL Stage Deck Leveller (set of 3)	750SDL Stage Deck Leveller (set of 3)	0.5	1	1.5	  750SDL Stage Deck Leveller (set of 3)	750SDL Stage Deck Leveller (set of 3)	NULL	12	15	18	 - 	6	6	0	0	0	6.38	 - 	 - 	 - 	 - 	0.000	0
AR725	 - 	BÃ¼hnenpodeste	ROADINGER Spezial-Kombi-Case Profi, 6HE	ROADINGER Spezial-Kombi-Case Profi, 6HE	289	299,00	 - 	ROADINGER Spezial-Kombi-Case Profi, 6HE	ROADINGER Spezial-Kombi-Case Profi, 6HE	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	199	 - 	 - 	 - 	 - 	0.000	0
AR734	 - 	BÃ¼hnenpodeste	Deck750 Stage 100x100cm Hexa	Deck750 Stage 100x100cm Hexa	12	15	20	Deck750 Stage 100x100cm Hexa	Deck750 Stage 100x100cm Hexa	NULL	 - 	 - 	 - 	 - 	3	0	3	0	0	 - 	 - 	100	1000	1000	0.000	0
AR779	 - 	BÃ¼hnenpodeste	Global Truss F31 Traverse, 1.0m, SILBER, 50x2mm	Global Truss F31 Traverse, 1.0m, SILBER, 50x2mm	 - 	2,50	 - 	Global Truss F31 Traverse, 1.0m, SILBER, 50x2mm	Global Truss F31 Traverse, 1.0m, SILBER, 50x2mm	NULL	 - 	 - 	 - 	 - 	4	0	4	0	0	 - 	 - 	 - 	 - 	1000	1.100	0
AR799	 - 	BÃ¼hnenpodeste	Showgear Cable Bridge 2 100 cm	Showgear Cable Bridge 2 100 cm	 - 	 - 	 - 	Showgear Cable Bridge 2 100 cm	Showgear Cable Bridge 2 100 cm	NULL	 - 	64,00	 - 	 - 	10	0	10	0	0	37,50	 - 	 - 	 - 	 - 	0.000	0
AR861	 - 	BÃ¼hnenpodeste	DTM-S300-6x02 Black DTM-S300-6x02 Black  	DTM-S300-6x02/BL - Hochwertiger Bühnenmolton 600x20cm für Bühnenkanten 	0.5	1	1.5	DTM-S300-6x02 Black DTM-S300-6x02 Black  	DTM-S300-6x02/BL - Hochwertiger Bühnenmolton 600x20cm für Bühnenkanten 	NULL	0.0	45	0.0	 - 	2	2	0	0	0	28.9	 - 	200	6000	0.0	0.000	0
AR887	 - 	BÃ¼hnenpodeste	BÃ¼tec Podest 50cm x 200cm	Bütec Podest 50cm x 200cm, Rundaufnahme, Platte für Ausseneinsatz, Kompakt 3000 System	0.0	20	0.0	BÃ¼tec Podest 50cm x 200cm	Bütec Podest 50cm x 200cm, Rundaufnahme, Platte für Ausseneinsatz, Kompakt 3000 System	NULL	0.0	0.0	0.0	10	8	0	8	0	0	0.0	10	100	500	2000	30.000	0
AR888	 - 	BÃ¼hnenpodeste	PodestfuÃŸ 40-56cm rund	Podestfuß 40-56cm rund	0.0	0.0	0.0	PodestfuÃŸ 40-56cm rund	Podestfuß 40-56cm rund	NULL	0.0	0.0	0.0	 - 	26	0	26	0	0	0.0	 - 	0.0	0.0	0.0	4.000	0
AR889	 - 	BÃ¼hnenpodeste	PodestfuÃŸ 80-126cm rund	Podestfuß 80-126cm rund	0.0	2	0.0	PodestfuÃŸ 80-126cm rund	Podestfuß 80-126cm rund	NULL	0.0	0.0	0.0	 - 	90	0	90	0	0	0.0	 - 	0.0	0.0	0.0	4.000	0
AR953	 - 	BÃ¼hnenpodeste	 Akustikvorhang PRO grau 2-lagig B1 	 Akustikvorhang PRO grau 2-lagig, B1, Breite 290cm mit Ösen 12mm Akustikvorhang Breite: 2,90m | Oberseite: Verstärkt & geöst (kleine Ösen DIN 12mm, alle 27cm) 	0.0	0.0	0.0	 Akustikvorhang PRO grau 2-lagig B1 	 Akustikvorhang PRO grau 2-lagig, B1, Breite 290cm mit Ösen 12mm Akustikvorhang Breite: 2,90m | Oberseite: Verstärkt & geöst (kleine Ösen DIN 12mm, alle 27cm) 	NULL	0.0	245	0.0	 - 	1	0	1	0	0	183.17	 - 	0.0	0.0	0.0	0.000	0
AR11	 - 	Case (GerÃ¤tetransport)	QSC KW122 Cover	QSC KW122 Cover	 - 	 - 	 - 	QSC KW122 Cover	QSC KW122 Cover	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR146	 - 	Case (GerÃ¤tetransport)	ADJ Touring Case 2x Vizi BSW 300	ADJ Touring Case 2x Vizi BSW 300	 - 	 - 	 - 	ADJ Touring Case 2x Vizi BSW 300	ADJ Touring Case 2x Vizi BSW 300	ADJ Supply Europe B.V.	550	579	599	 - 	4	2	2	0	0	389	 - 	600 	885	 629	30.000	0
AR147	 - 	Case (GerÃ¤tetransport)	Case fÃ¼r 2 CP A.leda K10/B-EYE K10	Case für 2 CP A.leda K10/B-EYE K10	 - 	 - 	 - 	Case fÃ¼r 2 CP A.leda K10/B-EYE K10	Case für 2 CP A.leda K10/B-EYE K10	NULL	 - 	 - 	 - 	 - 	12	0	12	0	0	 - 	 - 	68	45	86	30.000	0
AR498	 - 	Case (GerÃ¤tetransport)	Case fÃ¼r DVA T4/T8/K5	Case für DVA T4/T8/K5	 - 	 - 	 - 	Case fÃ¼r DVA T4/T8/K5	Case für DVA T4/T8/K5	NULL	 - 	 - 	 - 	 - 	8	2	6	0	0	 - 	 - 	120	60	300	24.000	0
